,arrivetime,leavetime,longitude,latitude,country,region
104,2019-11-26 01:48:34.606,2019-11-26 01:51:59.901,19.7873671,41.3366719,alb,12
105,2019-11-26 01:48:34.729,2019-11-26 01:50:13.207,19.8152686649062,41.3889350152494,alb,11
106,2019-11-26 01:48:34.762,2019-11-26 01:50:36.306,19.5661490659703,41.3410302409656,alb,11
107,2019-11-26 01:48:34.838,2019-11-26 01:49:51.720,19.7963450902579,41.3272009307057,alb,11
108,2019-11-26 01:48:34.846,2019-11-26 01:49:39.811,19.77776168538,41.3321009279854,alb,12
109,2019-11-26 01:48:34.898,2019-11-26 01:50:25.583,-60.9095326,14.4882593,fra,ara
110,2019-11-26 01:48:34.924,2019-11-26 01:50:00.562,19.754389,41.3069338,alb,11
111,2019-11-26 01:48:35.127,2019-11-26 01:49:35.328,19.8137012614128,41.3221880525013,alb,11
112,2019-11-26 01:48:35.399,2019-11-26 01:50:26.480,19.8086783843374,41.3454338308164,alb,11
113,2019-11-26 01:48:35.850,2019-11-26 01:52:04.671,19.828018188477,41.321231842041,alb,11
114,2019-11-26 01:48:35.853,2019-11-26 01:51:03.844,19.803461074829,41.309898376465,alb,11
115,2019-11-26 01:48:35.930,2019-11-26 01:50:30.411,19.8152819447634,41.3322828178192,alb,11
116,2019-11-26 01:48:36.042,2019-11-26 01:50:15.331,19.8301431107648,41.3337879145673,alb,11
117,2019-11-26 01:48:36.139,2019-11-26 01:49:47.322,19.447376251221,41.313209533691,alb,11
118,2019-11-26 01:48:36.332,2019-11-26 01:49:52.923,19.799786062325,41.323326426331,alb,11
119,2019-11-26 01:48:36.573,2019-11-26 01:49:37.009,19.515802383423,41.350601196289,alb,11
120,2019-11-26 01:48:36.795,2019-11-26 01:50:19.857,19.815671995458,41.3190369573786,alb,11
121,2019-11-26 01:48:36.824,2019-11-26 01:51:05.715,19.8043676,41.335777,alb,11
122,2019-11-26 01:48:36.830,2019-11-26 01:50:31.232,19.833681,41.314299,alb,11
123,2019-11-26 01:48:36.846,2019-11-26 01:49:48.613,19.4438570865602,41.3107787983583,alb,11
124,2019-11-26 01:48:36.953,2019-11-26 01:50:13.916,19.4501590618162,41.3236452986952,alb,11
125,2019-11-26 01:48:36.964,2019-11-26 01:50:07.003,19.8082373,41.335063,alb,11
126,2019-11-26 01:48:37.042,2019-11-26 01:49:37.568,19.814379655318,41.3041995239921,alb,11
127,2019-11-26 01:48:37.063,2019-11-26 01:49:37.063,19.5160161,41.2513032,alb,11
128,2019-11-26 01:48:37.215,2019-11-26 01:51:04.547,19.8248813889291,41.333241681826,alb,11
129,2019-11-26 01:48:37.224,2019-11-26 01:49:43.307,19.8634904,41.3390323,alb,11
130,2019-11-26 01:48:37.331,2019-11-26 01:50:37.862,19.778049,41.3182252,alb,11
131,2019-11-26 01:48:37.404,2019-11-26 01:49:52.739,19.8006003446197,41.3415390174328,alb,11
132,2019-11-26 01:48:37.473,2019-11-26 01:50:23.827,19.8159787,41.3180658,alb,11
133,2019-11-26 01:48:37.479,2019-11-26 01:49:38.306,19.772472381592,41.321826934814,alb,11
134,2019-11-26 01:48:37.535,2019-11-26 01:50:04.621,19.4966918,41.3010526,alb,11
135,2019-11-26 01:48:37.579,2019-11-26 01:49:40.964,19.8094494,41.3282754,alb,11
136,2019-11-26 01:48:37.651,2019-11-26 01:52:00.526,19.771966934204,41.319599151611,alb,11
137,2019-11-26 01:48:37.744,2019-11-26 01:49:41.459,19.8141176864435,41.3223786986521,alb,11
138,2019-11-26 01:48:37.864,2019-11-26 01:50:34.476,19.8167339,41.3249904,alb,11
139,2019-11-26 01:48:37.942,2019-11-26 01:49:40.368,19.836624145508,41.333194732666,alb,11
140,2019-11-26 01:48:37.976,2019-11-26 01:49:44.262,19.4661571771681,41.3325128887486,alb,11
141,2019-11-26 01:48:37.998,2019-11-26 01:50:19.486,19.7933441544572,41.3293339766584,alb,11
142,2019-11-26 01:48:38.045,2019-11-26 01:51:01.313,19.8355314957752,41.3190267789118,alb,11
143,2019-11-26 01:48:38.121,2019-11-26 01:49:38.255,19.4672018,41.3176012,alb,11
144,2019-11-26 01:48:38.137,2019-11-26 01:49:47.171,19.8269142459137,41.3290127422515,alb,11
145,2019-11-26 01:48:38.215,2019-11-26 01:50:24.480,19.8024125,41.3242024,alb,11
146,2019-11-26 01:48:38.370,2019-11-26 01:49:42.460,19.4876634813129,41.3092543854947,alb,11
147,2019-11-26 01:48:38.380,2019-11-26 01:50:29.471,19.7976797846524,41.3239745324288,alb,11
148,2019-11-26 01:48:38.439,2019-11-26 01:50:38.268,19.809046,41.3282457,alb,11
149,2019-11-26 01:48:38.503,2019-11-26 01:49:38.721,19.4776262,41.3198218,alb,11
150,2019-11-26 01:48:38.519,2019-11-26 01:49:47.729,19.446453094482,41.324466705322,alb,11
151,2019-11-26 01:48:38.582,2019-11-26 01:49:38.707,19.724338531494,41.361713409424,alb,11
