,id,source,arrivetime,leavetime,ismobile,ismobilesite,totalpageviews,country,region,city,ip_latitude,ip_longitude,geo_latitude,geo_longitude
129,34962472,web,2019-11-26 02:51:21.602,2019-11-26 02:56:41.691,True,False,4.0,alb,11,tirana,41.3311,19.8318,,
130,34962392,web,2019-11-26 02:51:21.798,2019-11-26 02:51:47.920,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
131,34962394,web,2019-11-26 02:51:22.189,2019-11-26 02:51:31.515,False,False,1.0,rou,ph,ploiesti,44.9406,26.0234,,
132,34962407,app,2019-11-26 02:51:22.533,2019-11-26 02:52:22.655,True,False,2.0,bgr,16,plovdiv,42.14384,24.74956,42.1515365,24.7370126
133,34962418,app,2019-11-26 02:51:23.496,2019-11-26 02:52:42.562,True,False,5.0,rou,b,bucharest,44.4342,26.1029,44.44367980957,26.132423400879
134,34962421,app,2019-11-26 02:51:23.733,2019-11-26 02:52:23.733,True,False,1.0,nor,02,kjeller,59.975,11.04749,,
135,34962491,web,2019-11-26 02:51:25.211,2019-11-26 02:51:34.227,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
136,34962433,app,2019-11-26 02:51:25.699,2019-11-26 02:52:25.894,True,False,2.0,mkd,85,skopje,42.0006,21.4663,,
137,34962427,web,2019-11-26 02:51:25.954,2019-11-26 02:52:31.831,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
138,34962435,app,2019-11-26 02:51:25.961,2019-11-26 02:52:26.180,True,False,3.0,alb,12,vlore,40.472,19.4896,44.0203650010189,20.9157345168891
139,34962495,web,2019-11-26 02:51:26.331,2019-11-26 02:51:28.036,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
140,34962439,app,2019-11-26 02:51:26.851,2019-11-26 02:52:27.347,True,False,2.0,usa,ca,mountain view,37.38864,-122.07506,41.9891294042159,21.32979647605
141,34962437,web,2019-11-26 02:51:27.737,2019-11-26 02:52:07.888,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
142,34962438,web,2019-11-26 02:51:27.827,2019-11-26 02:51:31.078,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
143,34962506,web,2019-11-26 02:51:28.300,2019-11-26 02:51:52.701,True,False,1.0,deu,by,nuremberg,49.4544,11.074,,
144,34962452,app,2019-11-26 02:51:29.307,2019-11-26 02:52:29.508,True,False,2.0,alb,11,tirana,41.3311,19.8318,40.305435501337,18.1546706599345
145,34962450,web,2019-11-26 02:51:29.817,2019-11-26 02:51:34.973,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
146,34962464,app,2019-11-26 02:51:31.507,2019-11-26 02:53:02.482,True,False,3.0,alb,11,tirana,41.3311,19.8318,41.3140626,19.4484002
147,34962466,app,2019-11-26 02:51:31.544,2019-11-26 02:52:31.668,True,False,2.0,alb,11,tirana,41.3311,19.8318,42.038921,19.899133
148,34962454,web,2019-11-26 02:51:31.703,2019-11-26 02:51:34.391,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
150,34962521,web,2019-11-26 02:51:32.429,2019-11-26 02:51:32.782,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
151,34962522,web,2019-11-26 02:51:32.687,2019-11-26 02:52:50.246,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
152,34962473,app,2019-11-26 02:51:33.155,2019-11-26 02:52:55.866,True,False,4.0,alb,11,tirana,41.3311,19.8318,,
